Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI ;Valor GMM
2012;Caldas da Rainha;Cursos Tecnológicos e Profissionais;12º ano;36.8;407;901.4
2012;Calheta [R.A.A.];Cursos gerais;10º ano;9.1;77;
2012;Calheta [R.A.A.];Cursos gerais;11º ano;4.0;77;
2012;Calheta [R.A.A.];Cursos gerais;12º ano;44.4;77;
2012;Calheta [R.A.A.];Cursos Tecnológicos e Profissionais;10º ano;;77;
2012;Calheta [R.A.A.];Cursos Tecnológicos e Profissionais;11º ano;0.0;77;
2012;Calheta [R.A.A.];Cursos Tecnológicos e Profissionais;12º ano;0.0;77;
2012;Calheta [R.A.M.];Cursos gerais;10º ano;20.4;150;1138.9
2012;Calheta [R.A.M.];Cursos gerais;11º ano;20.4;150;1138.9
2012;Calheta [R.A.M.];Cursos gerais;12º ano;39.1;150;1138.9
2012;Calheta [R.A.M.];Cursos Tecnológicos e Profissionais;10º ano;50.0;150;1138.9
2012;Calheta [R.A.M.];Cursos Tecnológicos e Profissionais;11º ano;6.2;150;1138.9
2012;Calheta [R.A.M.];Cursos Tecnológicos e Profissionais;12º ano;33.3;150;1138.9
2012;Câmara de Lobos;Cursos gerais;10º ano;31.0;715;882.9
2012;Câmara de Lobos;Cursos gerais;11º ano;17.4;715;882.9
2012;Câmara de Lobos;Cursos gerais;12º ano;50.0;715;882.9
2012;Câmara de Lobos;Cursos Tecnológicos e Profissionais;10º ano;22.6;715;882.9
2012;Câmara de Lobos;Cursos Tecnológicos e Profissionais;11º ano;;715;882.9
2012;Câmara de Lobos;Cursos Tecnológicos e Profissionais;12º ano;6.7;715;882.9
2012;Caminha;Cursos gerais;10º ano;10.0;116;846.2
2012;Caminha;Cursos gerais;11º ano;57.9;116;846.2
2012;Caminha;Cursos gerais;12º ano;67.0;116;846.2
2012;Caminha;Cursos Tecnológicos e Profissionais;10º ano;11.0;116;846.2
2012;Caminha;Cursos Tecnológicos e Profissionais;11º ano;18.4;116;846.2
2012;Caminha;Cursos Tecnológicos e Profissionais;12º ano;38.9;116;846.2
2012;Campo Maior;Cursos gerais;10º ano;46.3;352;1209.7
2012;Campo Maior;Cursos gerais;11º ano;26.5;352;1209.7
2012;Campo Maior;Cursos gerais;12º ano;43.5;352;1209.7
2012;Campo Maior;Cursos Tecnológicos e Profissionais;10º ano;25.0;352;1209.7
2012;Campo Maior;Cursos Tecnológicos e Profissionais;11º ano;5.0;352;1209.7
2012;Campo Maior;Cursos Tecnológicos e Profissionais;12º ano;5.3;352;1209.7
2012;Cantanhede;Cursos gerais;10º ano;20.3;427;965.1
2012;Cantanhede;Cursos gerais;11º ano;10.9;427;965.1
