Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2013;Castro Daire;0.0;0.321;0.0;0.0;0.798;1.0;0.204;0.162;116.0
2013;Castro Marim;0.289;0.289;0.289;0.289;0.289;0.289;0.147;0.148;116.0
2013;Celorico da Beira;0.902;0.0;0.188;0.0;1.0;1.0;0.157;0.003;116.0
2013;Celorico de Basto;0.0;0.0;0.0;0.0;0.812;0.582;0.454;0.11;352.0
2013;Chamusca;0.373;0.293;0.15;0.293;1.0;0.293;0.106;0.257;352.0
2013;Condeixa-a-Nova;0.484;0.0;0.15;0.0;0.178;0.397;0.188;0.317;352.0
2013;Coruche;0.0;0.0;0.0;0.0;1.0;0.066;0.299;0.409;352.0
2013;Corvo;0.3;0.3;0.3;0.3;0.3;0.3;0.155;0.376;352.0
2013;Crato;0.286;0.0;0.286;0.017;0.286;0.882;0.063;0.101;352.0
2013;Cuba;0.293;0.052;0.293;0.0;0.293;0.0;0.131;0.258;55.0
2013;Esposende;0.08;0.0;0.0;0.0;0.655;0.0;0.099;0.209;55.0
2013;Estremoz;0.143;0.0;0.042;0.0;1.0;0.0;0.39;0.292;55.0
2013;Felgueiras;0.293;0.0;0.07;0.0;1.0;0.317;0.432;0.047;55.0
2013;Ferreira do Alentejo;0.296;0.0;0.233;0.0;0.648;0.087;0.248;0.303;55.0
2013;Ferreira do Zêzere;1.0;0.0;0.627;0.0;1.0;0.0;0.046;0.169;55.0
2013;Figueira de Castelo Rodrigo;0.348;0.286;0.213;0.0;0.777;0.85;0.191;0.058;278.0
2013;Figueiró dos Vinhos;0.0;0.0;0.056;0.289;0.544;0.15;0.151;0.177;278.0
2013;Fornos de Algodres;0.202;0.0;0.0;0.0;1.0;1.0;0.098;0.03;278.0
2013;Freixo de Espada à Cinta;0.282;0.282;0.282;0.282;0.282;0.812;0.037;0.055;278.0
2013;Fronteira;0.289;0.289;0.289;0.289;0.289;0.0;0.071;0.206;278.0
2013;Fundão;0.08;0.0;0.223;0.0;0.725;0.209;0.336;0.159;278.0
2013;Gavião;0.282;0.282;0.282;0.282;0.282;0.0;0.061;0.078;225.0
2013;Góis;0.282;0.282;0.282;0.282;0.282;0.282;0.057;0.046;225.0
2013;Golegã;0.425;0.0;0.293;0.0;0.0;0.0;0.037;0.239;225.0
2013;Gouveia;0.223;0.0;0.544;0.0;1.0;1.0;0.236;0.151;225.0
2013;Grândola;0.348;0.0;0.185;0.0;0.77;0.0;0.191;0.284;225.0
2013;Horta;0.909;0.0;0.324;0.0;1.0;0.0;0.332;0.376;225.0
2013;Idanha-a-Nova;0.505;0.063;0.286;0.0;1.0;1.0;0.257;0.111;52.0
2013;Lagoa;0.087;0.073;0.066;0.122;0.812;0.93;0.411;0.356;52.0
2013;Lajes das Flores;0.3;0.3;0.3;0.3;0.3;0.3;0.155;0.376;52.0
2013;Lajes do Pico;0.087;0.3;0.233;0.0;0.76;0.348;0.06;0.376;52.0
2013;Lourinhã;0.0;0.0;0.122;0.0;1.0;0.958;0.289;0.219;52.0
2013;Lousã;0.39;0.0;0.547;0.0;1.0;1.0;0.283;0.296;52.0
2013;Mação;0.0;0.0;0.47;0.0;1.0;1.0;0.025;0.14;225.0
2013;Macedo de Cavaleiros;0.739;0.0;0.0;0.0;1.0;1.0;0.222;0.184;225.0
2013;Madalena;0.376;0.523;0.077;0.15;1.0;0.0;0.108;0.376;225.0
2013;Mangualde;0.948;0.174;0.373;0.0;0.895;1.0;0.289;0.362;225.0
2013;Manteigas;0.0;0.15;0.125;0.0;0.314;0.0;0.018;0.114;225.0
2013;Marvão;0.282;0.282;0.282;0.282;0.282;0.282;0.046;0.036;225.0
